
2024/10/07 (02:02:16) | ===> btop++ v.1.4.0
2024/10/07 (02:02:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (01:50:57) | ===> btop++ v.1.4.0
2024/10/27 (01:50:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (07:03:19) | ===> btop++ v.1.4.0
2024/11/06 (07:03:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (09:01:12) | ===> btop++ v.1.4.0
2024/11/06 (09:01:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (23:18:43) | ===> btop++ v.1.4.0
2024/11/06 (23:18:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (23:53:46) | ===> btop++ v.1.4.0
2024/11/06 (23:53:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (23:57:39) | ===> btop++ v.1.4.0
2024/11/06 (23:57:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (00:12:03) | ===> btop++ v.1.4.0
2024/11/07 (00:12:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (00:22:09) | ===> btop++ v.1.4.0
2024/11/07 (00:22:09) | WARNING: Intel GPU: Failed to initialize PMU
